market,feature_set,model,horizon_step,pairs,seeds,price_rmse_delta_mean,price_rmse_delta_std,price_rmse_delta_pct_mean,price_rmse_delta_pct_std,price_rmse_candidate_wins,price_mae_delta_mean,price_mae_delta_std,price_mae_delta_pct_mean,price_mae_delta_pct_std,price_mae_candidate_wins,rmse_delta_mean,rmse_delta_std,rmse_delta_pct_mean,rmse_delta_pct_std,rmse_candidate_wins,mae_delta_mean,mae_delta_std,mae_delta_pct_mean,mae_delta_pct_std,mae_candidate_wins
bist100,close,cnn1d,20,5,5,878.419751588913,194.88345249408383,54.07445237872419,16.356714996102703,0,810.8383485546813,72.10275360697405,70.44303922895139,8.197157321635034,0,0.11527019794422703,0.04336221258325693,55.98411609924169,25.85041600275566,0,0.11191149888772074,0.01383445684023995,78.07257764786752,12.693379470852891,0
bist100,close,dnfs,20,5,5,-48.90950048118127,34.97490695122366,-5.900546534824742,4.118668709376818,5,-19.57701568183977,39.66652179477159,-2.8030698632661837,6.15097113706278,4,0.0013754177423655172,0.003928819012895971,1.5080699913622275,4.12047853278764,2,0.0009731390867503242,0.004588569939577866,1.4522618575652366,6.151054000699408,2
bist100,close,linear_regression,20,5,5,-2953.5903276107724,0.0,-66.82966493199714,0.0,5,-1253.0711415091394,0.0,-50.347331004068565,0.0,5,-0.1552707223413495,0.0,-46.23301839811086,0.0,5,-0.11191168367616089,0.0,-41.876423493468714,0.0,5
bist100,close,lstm_gru,20,5,5,18.995720180947295,56.07148880855571,2.7119137278317416,6.742949984920706,1,27.91141298086193,35.323453585930515,4.5024787984648444,5.475395314696928,1,0.00844441460687018,0.003530046740533955,8.733676118863212,3.831573862405079,0,0.0055077204470471985,0.002949606828144475,6.9835088817873485,3.8182703502358053,0
bist100,close,mlp,20,5,5,166.8249216985991,89.00511759791033,16.60083471485611,10.679124036215526,0,174.14380357619171,74.08361492120493,22.659316333204753,11.555600707573413,0,0.028478019781821982,0.008845484950175477,24.36668907940173,9.259637914003918,0,0.025221704487588082,0.008342476405308752,27.456560778878547,11.227996824870068,0
bist100,close,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-2.509628060920477e-10,0.0,-2.6893756229331975e-07,0.0,5,-2.0688628032949907e-09,0.0,-2.7727402429286567e-06,0.0,5
bist100,indicators,cnn1d,20,5,5,708.1859141261498,332.14927678485816,41.669159734527135,21.69672685677713,0,438.8675838848106,220.72364735138123,36.88557677043729,22.517930410815712,0,0.05985684600759859,0.04213539206623703,36.12149395077019,25.670050063697037,1,0.049743966320946596,0.024927803700879568,37.46955050567216,22.11705780924305,0
bist100,indicators,dnfs,20,5,5,-18.3691300705804,31.091606122128116,-2.141980840555303,3.823446703899214,4,-3.0449961874540805,35.847039055570434,-0.28954246485432256,5.8168368826296195,4,-0.0022362105033883195,0.003710710569248387,-2.138275041205504,3.8185929542273116,4,-0.0006266338862696563,0.003817805222236666,-0.6291513834357969,4.9787629732294185,4
bist100,indicators,lstm_gru,20,5,5,30.1702477175427,35.495170615391565,3.901790169099857,4.535684143363739,2,48.683784817252786,34.88249664852345,7.691871621296045,5.811381982133179,0,0.0028251415244837596,0.0036974148488049803,2.916883876569127,3.7419734393111233,1,0.0048976412469165205,0.003769876332949471,6.232283457141339,4.957122001172988,1
bist100,indicators,mlp,20,5,5,1039.2785378511558,307.4007053245481,91.76062526992322,37.618017491381394,0,842.7805393134324,184.88109943670642,99.98223038127294,30.72649566083464,0,0.0887247479138052,0.03387028654424844,69.83412909786446,38.72298734871591,0,0.08570803412628414,0.019749971665642695,85.66678488559664,32.454955747719275,0
bist100,indicators,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-2.509628060920477e-10,0.0,-2.6893756229331975e-07,0.0,5,-2.0688628032949907e-09,0.0,-2.7727402429286567e-06,0.0,5
sp500,close,cnn1d,20,5,5,0.7674663804636112,9.01216838172058,0.318917082180371,3.5790325753755003,2,6.9792352560417665,10.288855877396104,3.646874782538778,5.433566621549772,1,0.0001240682201173779,0.0015356675052108526,0.26581181531050807,3.1575260216858867,2,0.0012695514613218814,0.0018598234569058092,3.421734965043085,5.0534431244834686,1
sp500,close,dnfs,20,5,5,13.595561503164948,7.197985524620451,5.555831123167438,3.0192155860849894,0,14.51659257724848,6.705594985840168,7.581910424635689,3.5942847944090492,0,0.002731845706056761,0.0014100602198857243,5.784925359416929,3.0691404330821586,0,0.00297125327425716,0.0012907844044544848,8.029144260494206,3.598021918278959,0
sp500,close,linear_regression,20,5,5,8.447288915430192,0.0,3.602230444417078,0.0,0,3.850265046015238,0.0,2.088554757647127,0.0,0,0.0008696856190256036,0.0,1.907139826956568,0.0,0,0.0003632539495955975,0.0,1.0169255100556363,0.0,0
sp500,close,lstm_gru,20,5,5,0.8919925520991854,2.175954586166868,0.37039326094694813,0.8956147647057855,1,4.189099845716106,2.279338109384862,2.2686964805401484,1.2542355945443648,0,0.00011831165321171955,0.0002593384994477931,0.2524011119307943,0.5501020649847119,1,0.0008248594212848417,0.00037236982696783763,2.2998937020473598,1.0575986540796394,0
sp500,close,mlp,20,5,5,-2.6199330492229533,3.4383873084526146,-1.0515788146142675,1.386111427289005,3,-1.1484874435603616,1.0505810133739883,-0.5997284529994822,0.545645453259023,4,-0.0004208138661721206,0.0005897439322566347,-0.8797572734117887,1.2401963749504408,4,-0.00016620615797777877,0.00019548580012255032,-0.4497030439674763,0.5259011977034914,4
sp500,close,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-5.674157595170204e-09,0.0,-1.1884970148705745e-05,0.0,5,-4.267524701673242e-09,0.0,-1.1070244597288762e-05,0.0,5
sp500,indicators,cnn1d,20,5,5,-3.2483869755848103,10.722618146388015,-1.3527601703864118,4.614082950558035,2,-4.487899431519798,7.374642844250996,-2.4448249416158756,4.023848565168503,4,-0.0010926820040634,0.0013559298138518376,-2.456826557030572,3.0433917245099082,3,-0.0010059677924063163,0.0011149523710489494,-2.8747955288083036,3.1579994709872112,5
sp500,indicators,dnfs,20,5,5,-1.6656779888504047,7.429223427388404,-0.5878012307532033,3.148374904031551,4,0.8845808721565163,4.74059710973816,0.5407551791389442,2.5909642373769075,3,-0.00011961192041302083,0.0016049333517459486,-0.153211846931727,3.390089743464686,2,0.00030637412480014336,0.0008214304916825973,0.9011248519713974,2.3464722314888453,3
sp500,indicators,linear_regression,20,5,5,29.6166972849841,0.0,12.852667071916306,0.0,0,21.42604422263304,0.0,11.482836389369515,0.0,0,0.005443806165465803,0.0,12.229441326839073,0.0,0,0.0040356333417176996,0.0,11.20575966208054,0.0,0
sp500,indicators,lstm_gru,20,5,5,5.821753477106455,7.40665643599851,2.4381828059461923,3.112639666268597,1,9.494726988368019,5.758430597322354,5.120101700525762,3.226713656929708,0,0.0004694722267906404,0.0007169692511986772,1.0088321705469312,1.5424689997822916,1,0.0014658467680739,0.0008294793533409013,4.068591882447651,2.3848242902629715,0
sp500,indicators,mlp,20,5,5,15.182923326872839,16.839063595166053,6.3531000861370055,7.021392065653598,1,8.662608460803687,19.003348715733537,4.7491871547491105,9.680506993351125,1,0.0025061817407916603,0.0035242996932975013,5.555623428082834,7.728452656941634,1,0.0014293257755161007,0.0037096454924604757,4.130399175418406,9.883406177832523,1
sp500,indicators,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-5.674157595170204e-09,0.0,-1.1884970148705745e-05,0.0,5,-4.267524701673242e-09,0.0,-1.1070244597288762e-05,0.0,5
wig20,close,cnn1d,20,5,5,2.9166569618907148,3.500232340736534,2.1301796392598367,2.566651140507668,1,0.898314560026742,3.6836705964931693,0.8739327259774091,3.3037816436499448,3,0.0014852930382246415,0.0006684235229860093,2.8268653074532226,1.298315473870455,0,0.00042698940752155937,0.0009856442336074224,1.035315916568916,2.3243112692586663,2
wig20,close,dnfs,20,5,5,-6.316572012445863,3.8935345570567095,-4.19701180786112,2.587511660378329,4,-5.127793863064559,3.1912952975565414,-4.200101162999299,2.477207662598062,5,-0.0016379254339609795,0.0021525468394704003,-2.8143425283182233,3.7146093431938407,4,-0.001699667620883641,0.0017793669039208153,-3.603835165466795,3.6948017845846515,4
wig20,close,linear_regression,20,5,5,2.1271747051893044,0.0,1.4362624168514626,0.0,0,1.0922819977634504,0.0,0.9216125033061926,0.0,0,0.0006971879800581962,0.0,1.2785177537395593,0.0,0,0.000413225877017101,0.0,0.933877107775694,0.0,0
wig20,close,lstm_gru,20,5,5,3.7851328510630653,1.7452458659418024,2.725996082331251,1.25746958168355,0,2.718004152931107,1.692277832216839,2.4350020912313552,1.524145908926302,1,0.0012509346934162003,0.0007492984470540438,2.397705821332815,1.43442711558282,0,0.0008522599687175003,0.0005876399606344414,2.0131451439350156,1.3889495391725004,1
wig20,close,mlp,20,5,5,4.174146948924095,5.887072451504256,3.148637104045739,4.374976248854015,2,1.8540045198902022,4.552033684556244,1.7966058956609499,4.244349316719964,2,0.0019935960778791006,0.001808040152241528,3.880134228151081,3.551793996326138,0,0.0005744117843867608,0.0014311491284013087,1.4346524259060902,3.486000199594563,2
wig20,close,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8.061196501985002e-09,0.0,1.5847959569613065e-05,0.0,0,9.881230597641455e-09,0.0,2.4248205459864487e-05,0.0,0
wig20,indicators,cnn1d,20,5,5,0.7073366193791173,3.7924483955644694,0.5465859283398006,2.7109936068922664,1,1.0478773600552955,4.266616608793296,0.9967217732263922,3.843223253156508,3,0.00035894197332713985,0.0008900979934365143,0.6889991395595121,1.6748062656065363,1,0.0003900972998367197,0.0012563381461570724,0.9413935145089665,2.9521292734947817,2
wig20,indicators,dnfs,20,5,5,-1.1853097165214082,5.150807568977859,-0.7428844805366807,3.4558781561545815,3,-0.1595060113656359,8.162492341012127,0.1664861774463658,6.754940635530181,2,-0.001012371421470358,0.0017790611161271784,-1.7320453584466542,3.116014867488242,3,-0.00019168420551474163,0.0029172871971163894,-0.16104103448969748,6.336723848272805,2
wig20,indicators,linear_regression,20,5,5,-0.9619553103598548,0.0,-0.6492192662099495,0.0,5,-0.01360580872452033,0.0,-0.011457015634552724,0.0,5,-0.0005301463619220015,0.0,-0.9715695330319483,0.0,5,4.3522804395498826e-05,0.0,0.09809728951248127,0.0,0
wig20,indicators,lstm_gru,20,5,5,2.3956845888050338,6.045811278866878,1.7720713129427992,4.456288451238188,2,3.693952110114998,6.50959580037196,3.4654430750793694,6.157786293516849,1,0.0010097896395446602,0.0013016131344066048,1.9384579096352195,2.5087944462569545,1,0.0013159501313564,0.0019008253194864803,3.199554075619802,4.679552978108497,1
wig20,indicators,mlp,20,5,5,-6.634080429536044,5.786835377903541,-4.398086009928334,3.6250497022097417,5,-2.8589324252883417,4.988593952639147,-2.34505177655463,4.296710849079482,3,-0.0009620923211130589,0.001947470374505107,-1.6510366135309043,3.44121194249345,3,-0.0006929123862066206,0.0018534026215492943,-1.4634705111592126,4.200360389424464,3
wig20,indicators,naive_persistence,20,5,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8.061196501985002e-09,0.0,1.5847959569613065e-05,0.0,0,9.881230597641455e-09,0.0,2.4248205459864487e-05,0.0,0
