fold,forecast_origin,forecast_end,train_samples,validation_samples,train_target_start,train_target_end,validation_target_start,validation_target_end,target_date,horizon_step
0,2022-07-22T00:00:00,2022-08-19T00:00:00,4606,987,2000-05-01T00:00:00,2018-08-20T00:00:00,2018-08-21T00:00:00,2022-07-22T00:00:00,2022-08-19T00:00:00,20
1,2022-08-19T00:00:00,2022-09-19T00:00:00,4626,987,2000-05-01T00:00:00,2018-09-18T00:00:00,2018-09-19T00:00:00,2022-08-19T00:00:00,2022-09-19T00:00:00,20
2,2022-09-19T00:00:00,2022-10-17T00:00:00,4646,987,2000-05-01T00:00:00,2018-10-16T00:00:00,2018-10-17T00:00:00,2022-09-19T00:00:00,2022-10-17T00:00:00,20
3,2022-10-17T00:00:00,2022-11-14T00:00:00,4666,987,2000-05-01T00:00:00,2018-11-13T00:00:00,2018-11-14T00:00:00,2022-10-17T00:00:00,2022-11-14T00:00:00,20
4,2022-11-14T00:00:00,2022-12-13T00:00:00,4686,987,2000-05-01T00:00:00,2018-12-13T00:00:00,2018-12-14T00:00:00,2022-11-14T00:00:00,2022-12-13T00:00:00,20
5,2022-12-13T00:00:00,2023-01-12T00:00:00,4706,987,2000-05-01T00:00:00,2019-01-14T00:00:00,2019-01-15T00:00:00,2022-12-13T00:00:00,2023-01-12T00:00:00,20
6,2023-01-12T00:00:00,2023-02-10T00:00:00,4726,987,2000-05-01T00:00:00,2019-02-12T00:00:00,2019-02-13T00:00:00,2023-01-12T00:00:00,2023-02-10T00:00:00,20
7,2023-02-10T00:00:00,2023-03-13T00:00:00,4746,987,2000-05-01T00:00:00,2019-03-13T00:00:00,2019-03-14T00:00:00,2023-02-10T00:00:00,2023-03-13T00:00:00,20
8,2023-03-13T00:00:00,2023-04-11T00:00:00,4766,987,2000-05-01T00:00:00,2019-04-10T00:00:00,2019-04-11T00:00:00,2023-03-13T00:00:00,2023-04-11T00:00:00,20
9,2023-04-11T00:00:00,2023-05-09T00:00:00,4786,987,2000-05-01T00:00:00,2019-05-09T00:00:00,2019-05-10T00:00:00,2023-04-11T00:00:00,2023-05-09T00:00:00,20
10,2023-05-09T00:00:00,2023-06-07T00:00:00,4806,987,2000-05-01T00:00:00,2019-06-07T00:00:00,2019-06-10T00:00:00,2023-05-09T00:00:00,2023-06-07T00:00:00,20
11,2023-06-07T00:00:00,2023-07-07T00:00:00,4826,987,2000-05-01T00:00:00,2019-07-08T00:00:00,2019-07-09T00:00:00,2023-06-07T00:00:00,2023-07-07T00:00:00,20
12,2023-07-07T00:00:00,2023-08-04T00:00:00,4846,987,2000-05-01T00:00:00,2019-08-05T00:00:00,2019-08-06T00:00:00,2023-07-07T00:00:00,2023-08-04T00:00:00,20
13,2023-08-04T00:00:00,2023-09-01T00:00:00,4866,987,2000-05-01T00:00:00,2019-09-03T00:00:00,2019-09-04T00:00:00,2023-08-04T00:00:00,2023-09-01T00:00:00,20
14,2023-09-01T00:00:00,2023-10-02T00:00:00,4886,987,2000-05-01T00:00:00,2019-10-01T00:00:00,2019-10-02T00:00:00,2023-09-01T00:00:00,2023-10-02T00:00:00,20
15,2023-10-02T00:00:00,2023-10-30T00:00:00,4906,987,2000-05-01T00:00:00,2019-10-29T00:00:00,2019-10-30T00:00:00,2023-10-02T00:00:00,2023-10-30T00:00:00,20
16,2023-10-30T00:00:00,2023-11-28T00:00:00,4926,987,2000-05-01T00:00:00,2019-11-26T00:00:00,2019-11-27T00:00:00,2023-10-30T00:00:00,2023-11-28T00:00:00,20
17,2023-11-28T00:00:00,2023-12-27T00:00:00,4946,987,2000-05-01T00:00:00,2019-12-26T00:00:00,2019-12-27T00:00:00,2023-11-28T00:00:00,2023-12-27T00:00:00,20
18,2023-12-27T00:00:00,2024-01-26T00:00:00,4966,987,2000-05-01T00:00:00,2020-01-27T00:00:00,2020-01-28T00:00:00,2023-12-27T00:00:00,2024-01-26T00:00:00,20
19,2024-01-26T00:00:00,2024-02-26T00:00:00,4986,987,2000-05-01T00:00:00,2020-02-25T00:00:00,2020-02-26T00:00:00,2024-01-26T00:00:00,2024-02-26T00:00:00,20
20,2024-02-26T00:00:00,2024-03-25T00:00:00,5006,987,2000-05-01T00:00:00,2020-03-24T00:00:00,2020-03-25T00:00:00,2024-02-26T00:00:00,2024-03-25T00:00:00,20
21,2024-03-25T00:00:00,2024-04-23T00:00:00,5026,987,2000-05-01T00:00:00,2020-04-22T00:00:00,2020-04-23T00:00:00,2024-03-25T00:00:00,2024-04-23T00:00:00,20
22,2024-04-23T00:00:00,2024-05-21T00:00:00,5046,987,2000-05-01T00:00:00,2020-05-20T00:00:00,2020-05-21T00:00:00,2024-04-23T00:00:00,2024-05-21T00:00:00,20
23,2024-05-21T00:00:00,2024-06-20T00:00:00,5066,987,2000-05-01T00:00:00,2020-06-18T00:00:00,2020-06-19T00:00:00,2024-05-21T00:00:00,2024-06-20T00:00:00,20
24,2024-06-20T00:00:00,2024-07-19T00:00:00,5086,987,2000-05-01T00:00:00,2020-07-17T00:00:00,2020-07-20T00:00:00,2024-06-20T00:00:00,2024-07-19T00:00:00,20
25,2024-07-19T00:00:00,2024-08-16T00:00:00,5106,987,2000-05-01T00:00:00,2020-08-14T00:00:00,2020-08-17T00:00:00,2024-07-19T00:00:00,2024-08-16T00:00:00,20
26,2024-08-16T00:00:00,2024-09-16T00:00:00,5126,987,2000-05-01T00:00:00,2020-09-14T00:00:00,2020-09-15T00:00:00,2024-08-16T00:00:00,2024-09-16T00:00:00,20
27,2024-09-16T00:00:00,2024-10-14T00:00:00,5146,987,2000-05-01T00:00:00,2020-10-12T00:00:00,2020-10-13T00:00:00,2024-09-16T00:00:00,2024-10-14T00:00:00,20
28,2024-10-14T00:00:00,2024-11-11T00:00:00,5166,987,2000-05-01T00:00:00,2020-11-09T00:00:00,2020-11-10T00:00:00,2024-10-14T00:00:00,2024-11-11T00:00:00,20
29,2024-11-11T00:00:00,2024-12-10T00:00:00,5186,987,2000-05-01T00:00:00,2020-12-08T00:00:00,2020-12-09T00:00:00,2024-11-11T00:00:00,2024-12-10T00:00:00,20
30,2024-12-10T00:00:00,2025-01-10T00:00:00,5206,987,2000-05-01T00:00:00,2021-01-07T00:00:00,2021-01-08T00:00:00,2024-12-10T00:00:00,2025-01-10T00:00:00,20
31,2025-01-10T00:00:00,2025-02-10T00:00:00,5226,987,2000-05-01T00:00:00,2021-02-05T00:00:00,2021-02-08T00:00:00,2025-01-10T00:00:00,2025-02-10T00:00:00,20
32,2025-02-10T00:00:00,2025-03-11T00:00:00,5246,987,2000-05-01T00:00:00,2021-03-08T00:00:00,2021-03-09T00:00:00,2025-02-10T00:00:00,2025-03-11T00:00:00,20
33,2025-03-11T00:00:00,2025-04-08T00:00:00,5266,987,2000-05-01T00:00:00,2021-04-06T00:00:00,2021-04-07T00:00:00,2025-03-11T00:00:00,2025-04-08T00:00:00,20
34,2025-04-08T00:00:00,2025-05-07T00:00:00,5286,987,2000-05-01T00:00:00,2021-05-04T00:00:00,2021-05-05T00:00:00,2025-04-08T00:00:00,2025-05-07T00:00:00,20
35,2025-05-07T00:00:00,2025-06-05T00:00:00,5306,987,2000-05-01T00:00:00,2021-06-02T00:00:00,2021-06-03T00:00:00,2025-05-07T00:00:00,2025-06-05T00:00:00,20
36,2025-06-05T00:00:00,2025-07-07T00:00:00,5326,987,2000-05-01T00:00:00,2021-06-30T00:00:00,2021-07-01T00:00:00,2025-06-05T00:00:00,2025-07-07T00:00:00,20
37,2025-07-07T00:00:00,2025-08-04T00:00:00,5346,987,2000-05-01T00:00:00,2021-07-29T00:00:00,2021-07-30T00:00:00,2025-07-07T00:00:00,2025-08-04T00:00:00,20
38,2025-08-04T00:00:00,2025-09-02T00:00:00,5366,987,2000-05-01T00:00:00,2021-08-26T00:00:00,2021-08-27T00:00:00,2025-08-04T00:00:00,2025-09-02T00:00:00,20
39,2025-09-02T00:00:00,2025-09-30T00:00:00,5386,987,2000-05-01T00:00:00,2021-09-24T00:00:00,2021-09-27T00:00:00,2025-09-02T00:00:00,2025-09-30T00:00:00,20
40,2025-09-30T00:00:00,2025-10-28T00:00:00,5406,987,2000-05-01T00:00:00,2021-10-22T00:00:00,2021-10-25T00:00:00,2025-09-30T00:00:00,2025-10-28T00:00:00,20
41,2025-10-28T00:00:00,2025-11-25T00:00:00,5426,987,2000-05-01T00:00:00,2021-11-19T00:00:00,2021-11-22T00:00:00,2025-10-28T00:00:00,2025-11-25T00:00:00,20
42,2025-11-25T00:00:00,2025-12-24T00:00:00,5446,987,2000-05-01T00:00:00,2021-12-20T00:00:00,2021-12-21T00:00:00,2025-11-25T00:00:00,2025-12-24T00:00:00,20
43,2025-12-24T00:00:00,2026-01-26T00:00:00,5466,987,2000-05-01T00:00:00,2022-01-19T00:00:00,2022-01-20T00:00:00,2025-12-24T00:00:00,2026-01-26T00:00:00,20
44,2026-01-26T00:00:00,2026-02-24T00:00:00,5486,987,2000-05-01T00:00:00,2022-02-16T00:00:00,2022-02-17T00:00:00,2026-01-26T00:00:00,2026-02-24T00:00:00,20
45,2026-02-24T00:00:00,2026-03-24T00:00:00,5506,987,2000-05-01T00:00:00,2022-03-17T00:00:00,2022-03-18T00:00:00,2026-02-24T00:00:00,2026-03-24T00:00:00,20
46,2026-03-24T00:00:00,2026-04-22T00:00:00,5526,987,2000-05-01T00:00:00,2022-04-14T00:00:00,2022-04-18T00:00:00,2026-03-24T00:00:00,2026-04-22T00:00:00,20
47,2026-04-22T00:00:00,2026-05-20T00:00:00,5546,987,2000-05-01T00:00:00,2022-05-13T00:00:00,2022-05-16T00:00:00,2026-04-22T00:00:00,2026-05-20T00:00:00,20
48,2026-05-20T00:00:00,2026-06-18T00:00:00,5566,987,2000-05-01T00:00:00,2022-06-13T00:00:00,2022-06-14T00:00:00,2026-05-20T00:00:00,2026-06-18T00:00:00,20
