usage_regularization,horizon_step,price_rmse_mean,price_rmse_std,persistence_price_rmse,improvement_vs_persistence_pct_mean,seeds_won_vs_persistence
0,1,27.402250682685537,0.4982157259413877,27.754033354992316,1.2675010792386456,3
0,2,44.33042794823141,1.4992171164750787,43.584491523255416,-1.7114721289750148,1
0,3,51.20326726082968,1.9730265151879518,51.22425737877111,0.0409769101896786,2
0,4,56.508672237723566,2.5528677021815036,56.32903423768575,-0.3189083613253912,3
0,5,95.7818033454594,4.077521867636141,92.17911956274942,-3.9083512619769736,1
0,6,109.88412088162829,4.331971162982902,107.40401603448495,-2.309136044174594,2
0,7,102.46001147562363,5.386968357728116,99.48074340343514,-2.9948188667090476,2
0,8,86.94761551678376,6.209084549098651,82.89921603154957,-4.883519626643336,2
0,9,88.96220037648784,6.763778207266621,84.90129828759552,-4.783085972532921,2
0,10,75.1875205507026,6.337746805971692,72.50754953007278,-3.696126869545202,2
0,11,86.92977727040703,6.83253979419459,85.40165691117862,-1.7893333859057599,3
0,12,96.63055332165625,7.21641712010413,96.85971216268328,0.2365883977046539,3
0,13,108.18085291660736,8.030133828819219,107.62501510291597,-0.5164578264261943,3
0,14,93.32095314921017,9.372648012108462,92.96627599200448,-0.3815116324936984,3
0,15,112.77311578727492,9.454619399163821,114.10496636728968,1.1672152601383519,3
0,16,122.88254132341515,10.813009662641878,124.21424786059978,1.072104496964926,3
0,17,134.5398692037565,12.484643347963377,134.1555368147593,-0.28648268876735633,3
0,18,157.95982943601507,12.719685259898672,157.60469521284404,-0.22533226100365655,3
0,19,153.9757480482503,13.857046922416124,155.1690157313927,0.7690115694282906,3
0,20,149.91853765314121,15.420006043135142,149.8426607721854,-0.05063770261739764,3
1e-3,1,27.591169344102532,0.4557963186930566,27.754033354992316,0.5868120456823286,3
1e-3,2,43.83991725671691,0.9502445831745654,43.584491523255416,-0.5860472946557337,1
1e-3,3,51.22328684035976,1.6755257109629065,51.22425737877111,0.0018946851765353934,2
1e-3,4,56.52052319285433,2.139166843423177,56.32903423768575,-0.33994716536516506,1
1e-3,5,93.23164536205941,1.8009020185724909,92.17911956274942,-1.1418267003445304,2
1e-3,6,107.37753905009197,2.070662095084726,107.40401603448495,0.024651763845094356,2
1e-3,7,99.5052883124229,2.2575083857745066,99.48074340343514,-0.02467302529920499,2
1e-3,8,83.65189843501672,3.1286167646726453,82.89921603154957,-0.9079487593473669,2
1e-3,9,85.40460393617857,3.7244812203986326,84.90129828759552,-0.5928126645109207,2
1e-3,10,71.3849478032146,4.116192216076009,72.50754953007278,1.548254952944697,2
1e-3,11,82.98254999410756,4.3199206768271114,85.40165691117862,2.8326229309427027,3
1e-3,12,92.74228535938528,5.065603644310836,96.85971216268328,4.250917859824395,3
1e-3,13,104.6536372525928,5.8159044970918,107.62501510291597,2.7608617266922697,3
1e-3,14,89.198612036242,5.926341078649867,92.96627599200448,4.052721178254492,3
1e-3,15,108.71428524093103,7.477428554731733,114.10496636728968,4.724317703233623,3
1e-3,16,118.86204750356153,8.391936507342926,124.21424786059978,4.30884576384894,3
1e-3,17,130.8604010325176,9.613099627735709,134.1555368147593,2.456205580833851,3
1e-3,18,154.56776993270765,10.518800501836338,157.60469521284404,1.9269256388809055,3
1e-3,19,149.84474959997684,11.405136493603537,155.1690157313927,3.431268869187458,3
1e-3,20,145.71782120663164,12.109806552425564,149.8426607721854,2.752780512770663,3
1e-4,1,27.3350429443985,0.4615933403027333,27.754033354992316,1.509655930850328,4
1e-4,2,44.20604764410174,1.453057320924697,43.584491523255416,-1.426094693601455,1
1e-4,3,50.84978461126233,1.8171044985943485,51.22425737877111,0.7310457714199519,3
1e-4,4,56.047804399416485,2.2936468536252534,56.32903423768575,0.4992626663588441,3
1e-4,5,95.70701575088493,4.0202323534712034,92.17911956274942,-3.827218360155802,2
1e-4,6,109.83243756197389,4.417637135722917,107.40401603448495,-2.2610155719961673,2
1e-4,7,101.91700943796337,5.053326954310957,99.48074340343514,-2.448982537905021,2
1e-4,8,86.66722243626324,6.126813992027072,82.89921603154957,-4.545285932836403,2
1e-4,9,88.48962184818511,6.936584950499226,84.90129828759552,-4.226464886831833,2
1e-4,10,74.99683504714503,6.973343916341058,72.50754953007278,-3.4331397671077086,2
1e-4,11,86.64624505011246,7.284704219042104,85.40165691117862,-1.4573348854674604,3
1e-4,12,96.93709101887876,7.997006059868027,96.85971216268328,-0.07988755538062789,3
1e-4,13,109.12750598399717,8.84399934074878,107.62501510291597,-1.3960424345998228,3
1e-4,14,93.78560873707333,9.712795154152573,92.96627599200448,-0.881322540164264,3
1e-4,15,113.83486539034539,10.569722823640015,114.10496636728968,0.2367127264862942,3
1e-4,16,124.26647456740798,11.976963845860274,124.21424786059978,-0.04204566521771032,3
1e-4,17,135.94618994152682,13.269633696518035,134.1555368147593,-1.3347590187351315,3
1e-4,18,159.66588246022917,13.518007449504784,157.60469521284404,-1.3078209659944,3
1e-4,19,155.42212872464887,14.753033122811747,155.1690157313927,-0.1631208344417833,3
1e-4,20,150.88647400308065,15.609753407642502,149.8426607721854,-0.6966061771168156,3
3e-3,1,27.561918309997743,0.442362428984451,27.754033354992316,0.6922058590090265,3
3e-3,2,44.189457272202496,1.4186297377005987,43.584491523255416,-1.388029842276102,1
3e-3,3,51.70241713510833,2.0444163988513915,51.22425737877111,-0.933463520615893,2
3e-3,4,56.95254217159246,2.502538703997942,56.32903423768575,-1.1069032912507655,3
3e-3,5,93.89666344271501,3.744867422500937,92.17911956274942,-1.8632678291057032,2
3e-3,6,108.24196349289005,4.197614787687534,107.40401603448495,-0.7801826126651139,3
3e-3,7,100.42252663528294,4.9173282093258885,99.48074340343514,-0.9466990290055088,3
3e-3,8,85.01916941826333,5.968897083947551,82.89921603154957,-2.5572659045496327,2
3e-3,9,87.46621031026012,6.472867798454423,84.90129828759552,-3.021051590961771,2
3e-3,10,74.01588612611486,6.9615901411408565,72.50754953007278,-2.080247651200099,2
3e-3,11,85.63459633006373,7.6936568999572215,85.40165691117862,-0.27275749360154133,3
3e-3,12,95.66686268363819,8.480491224756832,96.85971216268328,1.2315228410359282,3
3e-3,13,107.25756342479767,10.350480851181743,107.62501510291597,0.34141846834300205,3
3e-3,14,91.79562725129327,11.173353034396259,92.96627599200448,1.2592187093865082,3
3e-3,15,112.60383840795134,11.89739971202865,114.10496636728968,1.315567592830608,3
3e-3,16,122.9085149846768,13.224083158928222,124.21424786059978,1.051194124999546,3
3e-3,17,134.58457226026894,15.150575118863838,134.1555368147593,-0.3198045013244865,3
3e-3,18,158.44023108906663,16.491576521229096,157.60469521284404,-0.5301465639042128,3
3e-3,19,154.6441298179329,17.056524903910656,155.1690157313927,0.3382672184815572,3
3e-3,20,150.1044902307953,18.295773700219822,149.8426607721854,-0.1747362581928286,3
3e-4,1,27.458667791505235,0.4513039644198827,27.754033354992316,1.0642257278758716,4
3e-4,2,44.20178480976885,1.4342082196597765,43.584491523255416,-1.416314071678603,1
3e-4,3,51.061974364836146,1.8465752639184252,51.22425737877111,0.31680891483693174,3
3e-4,4,56.348553055325716,2.3704472430060997,56.32903423768575,-0.034651433144778455,1
3e-4,5,95.47267290630124,3.864533562578385,92.17911956274942,-3.5729928417354713,1
3e-4,6,109.62780763319726,4.330987104482068,107.40401603448495,-2.0704920363483557,2
3e-4,7,101.89359780149908,4.913099394505625,99.48074340343514,-2.425448700437256,2
3e-4,8,86.49270714957883,5.902323660311705,82.89921603154957,-4.334770930356772,2
3e-4,9,88.26579213208541,6.646693612589066,84.90129828759552,-3.962829676753556,2
3e-4,10,74.53069192279872,6.794749632210811,72.50754953007278,-2.790250678499125,3
3e-4,11,86.27494241507685,7.134102890149001,85.40165691117862,-1.0225627177309713,3
3e-4,12,96.41253071375074,7.780511557606259,96.85971216268328,0.4616795145761604,3
3e-4,13,108.56338549993026,8.525156305610148,107.62501510291597,-0.8718887482774951,3
3e-4,14,93.43032935929344,9.475782457013665,92.96627599200448,-0.499163123764219,3
3e-4,15,113.10140896895741,10.168242511792664,114.10496636728968,0.8795036975883427,3
3e-4,16,123.58019256716435,11.51550218898818,124.21424786059978,0.5104529507331683,3
3e-4,17,135.48899786218837,12.917089706748776,134.1555368147593,-0.9939664654096976,3
3e-4,18,158.97301155501714,13.126098568267068,157.60469521284404,-0.868195164062336,3
3e-4,19,154.744700992287,14.386966696272335,155.1690157313927,0.2734532645616743,3
3e-4,20,150.40017988910955,15.288109814684564,149.8426607721854,-0.37206968566299664,3
